hipporag_doc_id,idx,canonical_target,repo,file,line,class,method,logger,level,template
b5a584e9-355e-58bb-8e25-5562c9d27b6c,0,clients/src/main/java/org/apache/kafka/clients/ClientUtils.java:82,kafka,clients/src/main/java/org/apache/kafka/clients/ClientUtils.java,82,org.apache.kafka.clients.ClientUtils,"org.apache.kafka.clients.ClientUtils#parseAndValidateAddresses(List<String>, ClientDnsLookup)",log,warn,Couldn't resolve server {} from {} as DNS resolution of the canonical hostname {} failed for {}
db7032be-57ea-5e66-b780-5b97e5cb3104,1,clients/src/main/java/org/apache/kafka/clients/ClientUtils.java:90,kafka,clients/src/main/java/org/apache/kafka/clients/ClientUtils.java,90,org.apache.kafka.clients.ClientUtils,"org.apache.kafka.clients.ClientUtils#parseAndValidateAddresses(List<String>, ClientDnsLookup)",log,warn,Couldn't resolve server {} from {} as DNS resolution failed for {}
76a65db1-b262-5672-ac93-acf57519daad,2,clients/src/main/java/org/apache/kafka/clients/ClientUtils.java:128,kafka,clients/src/main/java/org/apache/kafka/clients/ClientUtils.java,128,org.apache.kafka.clients.ClientUtils,"org.apache.kafka.clients.ClientUtils#resolve(String, HostResolver)",log,debug,Resolved host {} as {}
19259d3f-e53d-5814-badf-f70d2c1f0e95,3,clients/src/main/java/org/apache/kafka/clients/ClusterConnectionStates.java:157,kafka,clients/src/main/java/org/apache/kafka/clients/ClusterConnectionStates.java,157,org.apache.kafka.clients.ClusterConnectionStates,"org.apache.kafka.clients.ClusterConnectionStates#connecting(String, long, String)",log,info,Hostname for node {} changed from {} to {}.
59cc066d-89c2-5bae-a971-376792d8657a,4,clients/src/main/java/org/apache/kafka/clients/ClusterConnectionStates.java:538,kafka,clients/src/main/java/org/apache/kafka/clients/ClusterConnectionStates.java,538,org.apache.kafka.clients.ClusterConnectionStates.NodeConnectionState,org.apache.kafka.clients.ClusterConnectionStates.NodeConnectionState#resolveAddresses(),log,debug,Resolved host {} to addresses {}
9fe05f56-abeb-56e8-a0e3-08a2e7ba6133,5,clients/src/main/java/org/apache/kafka/clients/CommonClientConfigs.java:265,kafka,clients/src/main/java/org/apache/kafka/clients/CommonClientConfigs.java,265,org.apache.kafka.clients.CommonClientConfigs,"org.apache.kafka.clients.CommonClientConfigs#postProcessReconnectBackoffConfigs(AbstractConfig, Map<String,Object>)",log,warn,"Disabling exponential reconnect backoff because {} is set, but {} is not."
dd9be966-c57b-5290-a4e3-b53089ce6985,6,clients/src/main/java/org/apache/kafka/clients/CommonClientConfigs.java:281,kafka,clients/src/main/java/org/apache/kafka/clients/CommonClientConfigs.java,281,org.apache.kafka.clients.CommonClientConfigs,org.apache.kafka.clients.CommonClientConfigs#warnDisablingExponentialBackoff(AbstractConfig),log,warn,Configuration '{}' with value '{}' is greater than configuration '{}' with value '{}'. 
a7ea86c4-63af-5210-8783-9341da371acf,7,clients/src/main/java/org/apache/kafka/clients/CommonClientConfigs.java:290,kafka,clients/src/main/java/org/apache/kafka/clients/CommonClientConfigs.java,290,org.apache.kafka.clients.CommonClientConfigs,org.apache.kafka.clients.CommonClientConfigs#warnDisablingExponentialBackoff(AbstractConfig),log,warn,Configuration '{}' with value '{}' is greater than configuration '{}' with value '{}'. 
17d24651-4da7-5939-8963-aa4935f987df,8,clients/src/main/java/org/apache/kafka/clients/FetchSessionHandler.java:280,kafka,clients/src/main/java/org/apache/kafka/clients/FetchSessionHandler.java,280,org.apache.kafka.clients.FetchSessionHandler.Builder,org.apache.kafka.clients.FetchSessionHandler.Builder#build(),log,debug,Built full fetch {} for node {} with {}.
8d081041-380a-5ee4-9454-084a8fab77da,9,clients/src/main/java/org/apache/kafka/clients/FetchSessionHandler.java:357,kafka,clients/src/main/java/org/apache/kafka/clients/FetchSessionHandler.java,357,org.apache.kafka.clients.FetchSessionHandler.Builder,org.apache.kafka.clients.FetchSessionHandler.Builder#build(),log,debug,"Built incremental fetch {} for node {}. Added {}, altered {}, removed {}, "
7e61d698-2af0-5709-bd93-a2035193e9e4,10,clients/src/main/java/org/apache/kafka/clients/FetchSessionHandler.java:529,kafka,clients/src/main/java/org/apache/kafka/clients/FetchSessionHandler.java,529,org.apache.kafka.clients.FetchSessionHandler,"org.apache.kafka.clients.FetchSessionHandler#handleResponse(FetchResponse, short)",log,info,Node {} was unable to process the fetch request with {}: {}.
ac396386-3443-54c8-9cb2-d2d7121d6880,11,clients/src/main/java/org/apache/kafka/clients/FetchSessionHandler.java:548,kafka,clients/src/main/java/org/apache/kafka/clients/FetchSessionHandler.java,548,org.apache.kafka.clients.FetchSessionHandler,"org.apache.kafka.clients.FetchSessionHandler#handleResponse(FetchResponse, short)",log,debug,Node {} sent a empty full fetch response to indicate that this 
fc918d93-0504-5ab9-8604-5625fcdb8950,12,clients/src/main/java/org/apache/kafka/clients/FetchSessionHandler.java:556,kafka,clients/src/main/java/org/apache/kafka/clients/FetchSessionHandler.java,556,org.apache.kafka.clients.FetchSessionHandler,"org.apache.kafka.clients.FetchSessionHandler#handleResponse(FetchResponse, short)",log,info,Node {} sent an invalid full fetch response with {}
